Company Name,Ticker,Industry,Year,Revenue,Cost of Sales / COGS,Gross Profit,Operating Profit / EBIT,EBITDA,Interest Expense,Net Income,Cash & Cash Equivalents,Accounts Receivable,Inventory,Current Assets,Total Assets,Current Liabilities,Total Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Total Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Capital Expenditure
Linde plc,LIN,Specialty Chemicals,2023,32854000000.00,17492000000.00,15362000000.00,8105000000.00,12217000000.00,413000000.00,6199000000.00,4664000000.00,5092000000.00,2115000000.00,12620000000.00,80811000000.00,15717000000.00,39716000000.00,5976000000.00,13397000000.00,19373000000.00,39720000000.00,9305000000.00,-4670000000.00,-5400000000.00,-3787000000.00
Linde plc,LIN,Specialty Chemicals,2024,33005000000.00,17143000000.00,15862000000.00,8595000000.00,12836000000.00,487000000.00,6565000000.00,4850000000.00,5062000000.00,1946000000.00,12945000000.00,80147000000.00,14544000000.00,40659000000.00,6280000000.00,15343000000.00,21623000000.00,38092000000.00,9423000000.00,-4644000000.00,-4359000000.00,-4497000000.00
Linde plc,LIN,Specialty Chemicals,2025,33986000000.00,17389000000.00,16597000000.00,9254000000.00,13124000000.00,464000000.00,6898000000.00,5056000000.00,5464000000.00,2055000000.00,13325000000.00,86817000000.00,15198000000.00,47076000000.00,6306000000.00,20683000000.00,26989000000.00,38245000000.00,10350000000.00,-5721000000.00,-4554000000.00,-5261000000.00
McDonald's Corporation,MCD,Restaurants,2023,25495000000.00,10931000000.00,14564000000.00,11747000000.00,13861000000.00,1361000000.00,8469000000.00,4579000000.00,2488000000.00,53000000.00,7986000000.00,56147000000.00,6859000000.00,60854000000.00,2192000000.00,37153000000.00,39345000000.00,-4706000000.00,9612000000.00,-3185000000.00,-4374000000.00,-2357000000.00
McDonald's Corporation,MCD,Restaurants,2024,25920000000.00,11210000000.00,14710000000.00,11851000000.00,13948000000.00,1506000000.00,8223000000.00,1085000000.00,2383000000.00,56000000.00,4599000000.00,55182000000.00,3861000000.00,58979000000.00,636000000.00,38424000000.00,39060000000.00,-3796000000.00,9447000000.00,-5346000000.00,-7495000000.00,-2775000000.00
McDonald's Corporation,MCD,Restaurants,2025,26885000000.00,11451000000.00,15434000000.00,12394000000.00,14678000000.00,1582000000.00,8563000000.00,774000000.00,2466000000.00,61000000.00,4163000000.00,59515000000.00,4361000000.00,61306000000.00,694000000.00,39973000000.00,40667000000.00,-1790000000.00,10551000000.00,-3822000000.00,-7125000000.00,-3365000000.00
Microsoft Corporation,MSFT,Software - Infrastructure,2023,211915000000.00,65863000000.00,146052000000.00,88523000000.00,105140000000.00,1968000000.00,72361000000.00,34704000000.00,48688000000.00,2500000000.00,184257000000.00,411976000000.00,104149000000.00,205753000000.00,5247000000.00,41990000000.00,47237000000.00,206223000000.00,87582000000.00,-22680000000.00,-43935000000.00,-28107000000.00
Microsoft Corporation,MSFT,Software - Infrastructure,2024,245122000000.00,74114000000.00,171008000000.00,109433000000.00,131680000000.00,2935000000.00,88136000000.00,18315000000.00,56924000000.00,1246000000.00,159734000000.00,512163000000.00,125286000000.00,243686000000.00,8942000000.00,42688000000.00,51630000000.00,268477000000.00,118548000000.00,-96970000000.00,-37757000000.00,-44477000000.00
Microsoft Corporation,MSFT,Software - Infrastructure,2025,281724000000.00,87831000000.00,193893000000.00,128528000000.00,155445000000.00,2385000000.00,101832000000.00,30242000000.00,69905000000.00,938000000.00,191131000000.00,619003000000.00,141218000000.00,275524000000.00,2999000000.00,40152000000.00,43151000000.00,343479000000.00,136162000000.00,-72599000000.00,-51699000000.00,-64551000000.00
"NextEra Energy, Inc.",NEE,Utilities - Regulated Electric,2023,28114000000.00,10138000000.00,17976000000.00,9832000000.00,16763000000.00,3324000000.00,7310000000.00,2690000000.00,6040000000.00,2106000000.00,15361000000.00,177489000000.00,27963000000.00,118465000000.00,11806000000.00,61405000000.00,73211000000.00,47468000000.00,11301000000.00,-23467000000.00,12149000000.00,-9548000000.00
"NextEra Energy, Inc.",NEE,Utilities - Regulated Electric,2024,24753000000.00,9886000000.00,14867000000.00,7127000000.00,14033000000.00,2235000000.00,6946000000.00,1487000000.00,4516000000.00,2214000000.00,11951000000.00,190144000000.00,25355000000.00,129283000000.00,9948000000.00,72385000000.00,82333000000.00,50101000000.00,13260000000.00,-22264000000.00,7000000000.00,-8514000000.00
"NextEra Energy, Inc.",NEE,Utilities - Regulated Electric,2025,27412000000.00,10343000000.00,17069000000.00,8020000000.00,16043000000.00,4572000000.00,6835000000.00,2812000000.00,5751000000.00,2420000000.00,13584000000.00,212721000000.00,22817000000.00,146242000000.00,6063000000.00,89556000000.00,95619000000.00,54608000000.00,12485000000.00,-23865000000.00,12979000000.00,-9274000000.00
"Nike, Inc.",NKE,Footwear & Accessories,2023,51217000000.00,28925000000.00,22292000000.00,5915000000.00,6774000000.00,,5070000000.00,7441000000.00,4131000000.00,8454000000.00,25202000000.00,37531000000.00,9256000000.00,23527000000.00,6000000.00,8927000000.00,8933000000.00,14004000000.00,5841000000.00,564000000.00,-7447000000.00,-969000000.00
"Nike, Inc.",NKE,Footwear & Accessories,2024,51362000000.00,28475000000.00,22887000000.00,6311000000.00,7155000000.00,,5700000000.00,9860000000.00,4427000000.00,7519000000.00,25382000000.00,38110000000.00,10593000000.00,23680000000.00,1006000000.00,7903000000.00,8909000000.00,14430000000.00,7429000000.00,894000000.00,-5888000000.00,-812000000.00
"Nike, Inc.",NKE,Footwear & Accessories,2025,46309000000.00,26519000000.00,19790000000.00,3702000000.00,4510000000.00,,3219000000.00,7464000000.00,4717000000.00,7489000000.00,23362000000.00,36579000000.00,10566000000.00,23366000000.00,5000000.00,7961000000.00,7966000000.00,13213000000.00,3698000000.00,-275000000.00,-5820000000.00,-430000000.00
NVIDIA Corporation,NVDA,Semiconductors,2023,26974000000.00,11618000000.00,15356000000.00,5577000000.00,5986000000.00,262000000.00,4368000000.00,3389000000.00,3827000000.00,5159000000.00,23073000000.00,41182000000.00,6563000000.00,19081000000.00,1250000000.00,9703000000.00,10953000000.00,22101000000.00,5641000000.00,7375000000.00,-11617000000.00,-1833000000.00
NVIDIA Corporation,NVDA,Semiconductors,2024,60922000000.00,16621000000.00,44301000000.00,32972000000.00,35583000000.00,257000000.00,29760000000.00,7280000000.00,9999000000.00,5282000000.00,44345000000.00,65728000000.00,10631000000.00,22750000000.00,1250000000.00,8459000000.00,9709000000.00,42978000000.00,28090000000.00,-10566000000.00,-13633000000.00,-1069000000.00
NVIDIA Corporation,NVDA,Semiconductors,2025,130497000000.00,32639000000.00,97858000000.00,81453000000.00,86137000000.00,247000000.00,72880000000.00,8589000000.00,23065000000.00,10080000000.00,80126000000.00,111601000000.00,18047000000.00,32274000000.00,288000000.00,8463000000.00,8751000000.00,79327000000.00,64089000000.00,-20421000000.00,-42359000000.00,-3236000000.00
"Pepsico, Inc.",PEP,Beverages - Non-Alcoholic,2023,91471000000.00,41881000000.00,49590000000.00,12913000000.00,15754000000.00,819000000.00,9074000000.00,9711000000.00,10815000000.00,5334000000.00,26950000000.00,100495000000.00,31647000000.00,81858000000.00,6510000000.00,37595000000.00,44105000000.00,18503000000.00,13442000000.00,-5495000000.00,-3009000000.00,-5518000000.00
