Company Name,Ticker,Industry,Year,Revenue,Cost of Sales / COGS,Gross Profit,Operating Profit / EBIT,EBITDA,Interest Expense,Net Income,Cash & Cash Equivalents,Accounts Receivable,Inventory,Current Assets,Total Assets,Current Liabilities,Total Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Total Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Capital Expenditure,Distress Status,Distress Event,Distress Event Year,Current Ratio,Quick Ratio,Cash Ratio,Net Profit Margin,EBIT Margin,ROA,ROE,ROE_negative_equity_flag,Debt-to-Equity,Debt-to-Equity_negative_equity_flag,Debt Ratio,Liabilities-to-Assets,Interest Coverage,Asset Turnover,Inventory Turnover,Receivables Turnover,Operating Cash Flow Ratio,CFO to Debt,Free Cash Flow,CFO to Net Income
"Amazon.com, Inc.",AMZN,Internet Retail,2025,716924000000.0,356414000000.0,360510000000.0,79975000000.0,165341000000.0,2274000000.0,77670000000.0,86810000000.0,67729000000.0,38325000000.0,229083000000.0,818042000000.0,218005000000.0,406977000000.0,0.0,65648000000.0,65648000000.0,411065000000.0,139514000000.0,-142545000000.0,9661000000.0,-131819000000.0,0.0,,,1.0508153482718285,0.8750166280589895,0.39820187610375907,0.10833784334183261,0.11155296795755199,0.09494622525493801,0.1889482198679041,False,0.1597022368725141,False,0.08025015830483032,0.49750135078638996,35.16930518909411,0.8763902097936291,9.826824191124775,11.64026627699302,0.6399577991330474,2.1251827930782357,271333000000.0,1.796240504699369
BlackBerry Limited,BB,Software - Infrastructure,2023,526300000.0,159700000.0,366600000.0,-69600000.0,-90700000.0,6400000.0,-734400000.0,295000000.0,135000000.0,0.0,743000000.0,1679000000.0,729000000.0,822000000.0,367000000.0,52000000.0,419000000.0,857000000.0,-262200000.0,175200000.0,6000000.0,-40900000.0,1.0,Strategic Review & Debt Refinancing,2024.0,1.01920438957476,1.01920438957476,0.4046639231824417,-1.3954018620558617,-0.13224396731901958,-0.4374032162001191,-0.8569428238039674,False,0.48891481913652274,False,0.2495533055390113,0.48957712924359736,-10.875,0.31346039309112567,,3.8985185185185185,-0.3596707818930041,-0.6257756563245823,-221300000.0,0.3570261437908497
BlackBerry Limited,BB,Software - Infrastructure,2024,759100000.0,268400000.0,490700000.0,45600000.0,93900000.0,5600000.0,-130200000.0,175100000.0,223700000.0,0.0,507500000.0,1395000000.0,356900000.0,619900000.0,19600000.0,194100000.0,213700000.0,775100000.0,-3500000.0,46600000.0,-165100000.0,-20900000.0,1.0,Strategic Review & Debt Refinancing,2024.0,1.421966937517512,1.421966937517512,0.4906136172597366,-0.17151890396522199,0.060071136872612306,-0.09333333333333334,-0.16797832537737067,False,0.27570636046961683,False,0.15318996415770608,0.44437275985663083,8.142857142857142,0.5441577060931899,,4.232506272651241,-0.009806668534603531,-0.016378100140383715,17400000.0,0.026881720430107527
BlackBerry Limited,BB,Software - Infrastructure,2025,534900000.0,140000000.0,394900000.0,13100000.0,59200000.0,6000000.0,-79000000.0,266700000.0,223700000.0,0.0,591500000.0,1295600000.0,344300000.0,575700000.0,15000000.0,195300000.0,210300000.0,719900000.0,16500000.0,60700000.0,3100000.0,-10100000.0,0.0,,,1.7179785071158873,1.7179785071158873,0.7746151611966309,-0.14769115722564966,0.024490558982987475,-0.06097560975609756,-0.10973746353660231,False,0.29212390609806915,False,0.16231861685705465,0.4443501080580426,2.183333333333333,0.4128589070700834,,2.391148860080465,0.04792332268370607,0.07845934379457917,26600000.0,-0.2088607594936709
Blink Charging Co.,BLNK,Engineering & Construction,2023,140129000.0,100392000.0,39737000.0,-105340000.0,-186212000.0,3546000.0,-203693000.0,98721000.0,45447000.0,47942000.0,221734000.0,428519000.0,69701000.0,139122000.0,6792000.0,7188000.0,13980000.0,289397000.0,-97570000.0,-36210000.0,197315000.0,-8580000.0,1.0,Operating Cash Deficit / Restructuring Plan,2024.0,3.1812169122394227,2.4933932081318777,1.4163498371615901,-1.453610601659899,-0.7517359004916898,-0.47534181681559046,-0.7038531843799348,False,0.048307342508733676,False,0.03262399100156586,0.324657716460647,-29.70671178793006,0.3270076706050373,2.094030286596304,3.083349836072788,-1.3998364442403983,-6.97925608011445,-88990000.0,0.47900516954436334
Blink Charging Co.,BLNK,Engineering & Construction,2024,122989000.0,86392000.0,36597000.0,-73298000.0,-187480000.0,431000.0,-201318000.0,41774000.0,42072000.0,36608000.0,139480000.0,215026000.0,59468000.0,99510000.0,265000.0,7259000.0,7524000.0,115516000.0,-48291000.0,5277000.0,-12419000.0,-8617000.0,1.0,Operating Cash Deficit / Restructuring Plan,2024.0,2.345463106208381,1.7298715275442256,0.7024618282101298,-1.636878094788965,-0.595971997495711,-0.9362495698194637,-1.7427715641123307,False,0.06513383427403996,False,0.034991117353250306,0.4627812450587371,-170.06496519721577,0.5719726916744952,2.043571850975754,2.810566848341503,-0.8120501782471246,-6.4182615629984054,-39674000.0,0.23987422883199713
Blink Charging Co.,BLNK,Engineering & Construction,2025,103210000.0,78017000.0,25193000.0,-74679000.0,-65083000.0,,-83385000.0,39568000.0,29532000.0,14153000.0,89318000.0,147453000.0,63472000.0,82963000.0,265000.0,4868000.0,5133000.0,64490000.0,-30857000.0,8544000.0,19267000.0,-9913000.0,0.0,,,1.4072031762036803,1.1842229644567683,0.6233929921855307,-0.8079158996221296,-0.7235636081775022,-0.5655022278285284,-1.2929911614203753,False,0.07959373546286246,False,0.034811092348070234,0.562640298942714,,0.6999518490637695,3.0738953133311004,2.8827998435841575,-0.4861513738341316,-6.011494252873563,-20944000.0,0.37005456616897525
"Beyond Meat, Inc.",BYND,Packaged Foods,2023,343376000.0,426031000.0,-82655000.0,-325890000.0,-282188000.0,3955000.0,-338144000.0,190505000.0,31730000.0,130336000.0,372844000.0,774450000.0,74354000.0,1287818000.0,3677000.0,1137542000.0,1141219000.0,-513368000.0,-107825000.0,-9491000.0,-550000.0,-10564000.0,1.0,Balance Sheet Restructuring / Going Concern Evaluation,2024.0,5.014444414557388,3.261532668047449,2.5621351911127848,-0.984763058571362,-0.9490762313032943,-0.43662470140099424,0.6586775957987253,True,-2.223003771173895,True,1.4735864161663115,1.662880754083543,-82.39949431099873,0.44338046355478083,3.2687131721090106,10.821809013551844,-1.4501573553541167,-0.09448230357188235,-97261000.0,0.31887302451026783
"Beyond Meat, Inc.",BYND,Packaged Foods,2024,326452000.0,284753000.0,41699000.0,-156124000.0,-133013000.0,4097000.0,-160278000.0,131913000.0,26862000.0,113444000.0,286456000.0,678146000.0,61453000.0,1279354000.0,4976000.0,1141476000.0,1146452000.0,-601208000.0,-98813000.0,-6232000.0,45777000.0,-11015000.0,1.0,Balance Sheet Restructuring / Going Concern Evaluation,2024.0,4.661383496330529,2.8153548240118464,2.1465672953313915,-0.490969575925404,-0.47824488745665517,-0.2363473352345955,0.2665932589054038,True,-1.9069140796529653,True,1.6905681077526078,1.886546554871665,-38.10690749328777,0.4813889634385516,2.336147345967676,11.143227744401965,-1.607944282622492,-0.08619026352607873,-87798000.0,0.6165100637642097
"Beyond Meat, Inc.",BYND,Packaged Foods,2025,275496000.0,267850000.0,7646000.0,-233346000.0,265903000.0,14028000.0,178012000.0,203890000.0,26060000.0,84032000.0,341484000.0,614747000.0,74917000.0,615744000.0,6517000.0,420806000.0,427323000.0,-997000.0,-144931000.0,-10250000.0,223410000.0,-12308000.0,0.0,,,4.558164368567882,3.4364963893375333,2.7215451766621728,0.6461509423004327,-0.8470032232772889,0.28956953022950904,-178.54764292878636,True,-428.60882647943833,True,0.695120106320161,1.001621805393113,-16.634302822925576,0.44814533458479666,2.7127347120662764,10.411397906352745,-1.9345542400256284,-0.33916030730852303,-132623000.0,-0.8141642136485181
