Company Name,Ticker,Industry,Year,Revenue,Cost of Sales / COGS,Gross Profit,Operating Profit / EBIT,EBITDA,Interest Expense,Net Income,Cash & Cash Equivalents,Accounts Receivable,Inventory,Current Assets,Total Assets,Current Liabilities,Total Liabilities,Short-Term Debt,Long-Term Debt,Total Debt,Total Equity,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Capital Expenditure,Distress Status,Distress Event,Distress Event Year
Blink Charging Co.,BLNK,Engineering & Construction,2025,103210000.0,78017000.0,25193000.0,-74679000.0,-65083000.0,,-83385000.0,39568000.0,29532000.0,14153000.0,89318000.0,147453000.0,63472000.0,82963000.0,265000.0,4868000.0,5133000.0,64490000.0,-30857000.0,8544000.0,19267000.0,-9913000.0,0.0,,
"Beyond Meat, Inc.",BYND,Packaged Foods,2023,343376000.0,426031000.0,-82655000.0,-325890000.0,-282188000.0,3955000.0,-338144000.0,190505000.0,31730000.0,130336000.0,372844000.0,774450000.0,74354000.0,1287818000.0,3677000.0,1137542000.0,1141219000.0,-513368000.0,-107825000.0,-9491000.0,-550000.0,-10564000.0,1.0,Balance Sheet Restructuring / Going Concern Evaluation,2024.0
"Beyond Meat, Inc.",BYND,Packaged Foods,2024,326452000.0,284753000.0,41699000.0,-156124000.0,-133013000.0,4097000.0,-160278000.0,131913000.0,26862000.0,113444000.0,286456000.0,678146000.0,61453000.0,1279354000.0,4976000.0,1141476000.0,1146452000.0,-601208000.0,-98813000.0,-6232000.0,45777000.0,-11015000.0,1.0,Balance Sheet Restructuring / Going Concern Evaluation,2024.0
"Beyond Meat, Inc.",BYND,Packaged Foods,2025,275496000.0,267850000.0,7646000.0,-233346000.0,265903000.0,14028000.0,178012000.0,203890000.0,26060000.0,84032000.0,341484000.0,614747000.0,74917000.0,615744000.0,6517000.0,420806000.0,427323000.0,-997000.0,-144931000.0,-10250000.0,223410000.0,-12308000.0,0.0,,
Carnival Corporation Ltd.,CCL,Travel Services,2023,21593000000.0,14317000000.0,7276000000.0,1956000000.0,4374000000.0,2066000000.0,-74000000.0,2415000000.0,556000000.0,528000000.0,5266000000.0,49120000000.0,11481000000.0,42237000000.0,2089000000.0,28483000000.0,30572000000.0,6883000000.0,4281000000.0,-2810000000.0,-5089000000.0,-3284000000.0,1.0,Post-Pandemic Distressed Debt Refinancing,2023.0
Carnival Corporation Ltd.,CCL,Travel Services,2024,25021000000.0,15638000000.0,9383000000.0,3574000000.0,6227000000.0,1755000000.0,1916000000.0,1210000000.0,590000000.0,507000000.0,3378000000.0,49057000000.0,11617000000.0,39805000000.0,1538000000.0,25936000000.0,27474000000.0,9252000000.0,5923000000.0,-4535000000.0,-2584000000.0,-4626000000.0,0.0,,
Carnival Corporation Ltd.,CCL,Travel Services,2025,26621000000.0,15947000000.0,10674000000.0,4482000000.0,6911000000.0,1349000000.0,2760000000.0,1928000000.0,678000000.0,505000000.0,4219000000.0,51687000000.0,13092000000.0,39403000000.0,2603000000.0,24037000000.0,26640000000.0,12284000000.0,6218000000.0,-3321000000.0,-2189000000.0,-3611000000.0,0.0,,
"ChargePoint Holdings, Inc.",CHPT,Specialty Retail,2023,468094000.0,382161000.0,85933000.0,-341782000.0,-312791000.0,9434000.0,-345108000.0,264162000.0,164892000.0,68730000.0,704170000.0,1079957000.0,284336000.0,724965000.0,0.0,294936000.0,294936000.0,354992000.0,-267049000.0,-126154000.0,372859000.0,-18563000.0,1.0,Restructuring / Severe Cash Burn,2024.0
"ChargePoint Holdings, Inc.",CHPT,Specialty Retail,2024,506639000.0,476521000.0,30118000.0,-449951000.0,-412871000.0,16273000.0,-457609000.0,327410000.0,124049000.0,198580000.0,742683000.0,1103363000.0,330153000.0,775687000.0,0.0,283704000.0,283704000.0,327676000.0,-328941000.0,85576000.0,306524000.0,-19424000.0,1.0,Restructuring / Severe Cash Burn,2024.0
"ChargePoint Holdings, Inc.",CHPT,Specialty Retail,2025,417083000.0,316402000.0,100681000.0,-252999000.0,-218849000.0,24653000.0,-277066000.0,224571000.0,95906000.0,209262000.0,566574000.0,898175000.0,293746000.0,760704000.0,0.0,297092000.0,297092000.0,137471000.0,-146947000.0,-12073000.0,28538000.0,-12073000.0,0.0,,
